start_dt,end_dt,sensor_num,cpu_serial,geo_cal_scale,mass_cal_offset,channel_a_resistor_ohms,channel_a_capacitor_farads,channel_a_RC_const_seconds,channel_a_gain,static_cal_offset_channel_a,static_cal_scale_channel_a,channel_b_resistor_ohms,channel_b_capacitor_farads,channel_b_RC_const_seconds,channel_b_gain,static_cal_offset_channel_b,static_cal_scale_channel_b,channel_c_resistor_ohms,channel_c_capacitor_farads,channel_c_RC_const_seconds,channel_c_gain,static_cal_offset_channel_c,static_cal_scale_channel_c
2023-01-01 00:00:00,2024-08-30 23:59:59,1,0xeaf14755,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-18 23:59:59,2,0x2cf540ea,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,3,0xbd48bd0a,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,4,0x9dbbcd32,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-09-02 23:59:59,5,0x93af7e18,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,6,0x9473dbbe,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,7,0x87a8398b,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-09-02 23:59:59,8,0x794f05f,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-02 23:59:59,9,0xa94dbd21,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,10,0x77f2bb93,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2023-01-01 00:00:00,2024-11-30 23:59:59,11,0x90ad6bf,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2024-10-18 00:00:00,2024-11-18 23:59:59,8,0x15b661ff,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2024-11-03 00:00:00,2024-11-30 23:59:59,9,0x37666684,,,1.0e+07,1e-08,0.1,1,,,1.0e+06,1e-08,0.01,1,,,1.0e+07,1e-07,1.0,1,,
2025-04-22 00:00:00,2025-09-28 23:59:59,5,0x37666684,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-04-25 00:00:00,2025-09-28 23:59:59,1,0xdcc361a9,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-04-29 00:00:00,2025-09-28 23:59:59,2,0x15b661ff,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-05-04 00:00:00,2025-06-11 23:59:59,8,0x4be2267,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2026-03-06 00:00:00,2099-12-31 23:59:59,8,0xca597a6d,,-5146785.791242981,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,3,0xbd48bd0a,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,4,0x9dbbcd32,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,6,0x9473dbbe,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,7,0x87a8398b,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,10,0x77f2bb93,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-09-28 23:59:59,11,0x90ad6bf,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2024-12-01 00:00:00,2025-04-21 23:59:59,9,0x37666684,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,5,0x37666684,,-5112843.14173936,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,1,0xdcc361a9,,-5001576.988678711,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,2,0x15b661ff,,-5021615.615731319,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,3,0xbd48bd0a,,-4547383.297100374,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,4,0x9dbbcd32,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,6,0x9473dbbe,,-5099770.514448967,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,7,0x87a8398b,,-4993024.666756881,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,10,0x77f2bb93,,-5025766.200716109,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
2025-09-29 00:00:00,2099-12-31 23:59:59,11,0x90ad6bf,,,1.0e+07,1e-08,0.1,1,,,1.0e+08,1e-09,0.1,10,,,1.0e+07,1e-07,1.0,1,,
